ogrenci_id,ad,soyad,dogum_tarihi,sinif_turu,telefon,veli_telefon
1,Ahmet,K.,12.05.2007,AYT,-90 555 ***,-90 556 **2
2,Zeynep,A.,12.05.2005,TYT,-90 555 ***,-90 556 **3
3,Can,S.,13.06.2006,TYT,-90 555 ***,-90 556 **4
4,Elif,B.,15.04.2007,AYT,-90 555 ***,-90 556 **5
5,Burak,Z.,16.04.2007,AYT,-90 555 ***,-90 556 **6
6,Merve,D.,17.04.2007,AYT,-90 555 ***,-90 556 **7
7,Selin,A.,18.04.2007,AYT,-90 555 ***,-90 556 **8
8,Mert,T.,19.04.2007,AYT,-90 555 ***,-90 556 **9
9,Ayşe,T.,20.04.2007,AYT,-90 555 ***,-90 556 **10
10,Emir,Y.,21.04.2007,AYT,-90 555 ***,-90 556 **11
11,Deniz,U.,22.04.2007,AYT,-90 555 ***,-90 556 **12
12,İrem,I.,23.04.2007,AYT,-90 555 ***,-90 556 **13
13,Onur,H.,24.04.2007,AYT,-90 555 ***,-90 556 **14
14,Gamze,K.,25.04.2007,AYT,-90 555 ***,-90 556 **15
15,Kerem,A.,26.04.2007,AYT,-90 555 ***,-90 556 **16
16,Dilara,S.,27.04.2007,AYT,-90 555 ***,-90 556 **17
17,Murat,B.,28.04.2007,AYT,-90 555 ***,-90 556 **18
18,Ece,Z.,29.04.2007,AYT,-90 555 ***,-90 556 **19
19,Gökhan,D.,30.04.2007,AYT,-90 555 ***,-90 556 **20
20,Aslı,A.,01.05.2007,AYT,-90 555 ***,-90 556 **21
21,Kaan,T.,02.05.2007,AYT,-90 555 ***,-90 556 **22
22,Gizem,T.,03.05.2007,AYT,-90 555 ***,-90 556 **23
23,Volkan,Y.,04.05.2007,AYT,-90 555 ***,-90 556 **24
24,Beren,U.,05.05.2007,AYT,-90 555 ***,-90 556 **25
25,Tolga,I.,12.05.2005,TYT,-90 555 ***,-90 556 **26
26,Damla,H.,13.06.2006,TYT,-90 555 ***,-90 556 **27
27,Sinan,K.,14.06.2006,TYT,-90 555 ***,-90 556 **28
28,Pelin,A.,15.06.2006,TYT,-90 555 ***,-90 556 **29
29,Hakan,S.,16.06.2006,TYT,-90 555 ***,-90 556 **30
30,Buse,B.,17.06.2006,TYT,-90 555 ***,-90 556 **31
31,Serkan,Z.,18.06.2006,TYT,-90 555 ***,-90 556 **32
32,Melis,D.,19.06.2006,TYT,-90 555 ***,-90 556 **33
33,Yiğit,A.,20.06.2006,TYT,-90 555 ***,-90 556 **34
34,Cansu,T.,05.05.2007,AYT,-90 555 ***,-90 556 **35
35,Erdem,T.,06.05.2007,AYT,-90 555 ***,-90 556 **36
36,Duygu,Y.,07.05.2007,AYT,-90 555 ***,-90 556 **37
37,Batuhan,U.,08.05.2007,AYT,-90 555 ***,-90 556 **38
38,Nilay,I.,09.05.2007,AYT,-90 555 ***,-90 556 **39
39,Umut,H.,10.05.2007,AYT,-90 555 ***,-90 556 **40
40,Tuğba,K.,11.05.2007,AYT,-90 555 ***,-90 556 **41
41,Berk,A.,24.02.2006,TYT,-90 555 ***,-90 556 **42
42,Ceren,S.,25.02.2006,TYT,-90 555 ***,-90 556 **43
43,Furkan,B.,26.02.2006,TYT,-90 555 ***,-90 556 **44
44,Özge,Z.,27.02.2006,TYT,-90 555 ***,-90 556 **45
45,Sercan,D.,28.02.2006,TYT,-90 555 ***,-90 556 **46
46,Hande,A.,01.03.2006,TYT,-90 555 ***,-90 556 **47
47,Arda,T.,02.03.2006,TYT,-90 555 ***,-90 556 **48
48,Ezgi,T.,03.03.2006,TYT,-90 555 ***,-90 556 **49
49,Metin,Y.,04.03.2006,TYT,-90 555 ***,-90 556 **50
50,Başak,U.,05.03.2006,TYT,-90 555 ***,-90 556 **51
51,Koray,I.,06.03.2006,TYT,-90 555 ***,-90 556 **52
52,Melisa,H.,07.03.2006,TYT,-90 555 ***,-90 556 **53
53,Fatih,K.,08.03.2006,TYT,-90 555 ***,-90 556 **54
54,Simge,A.,09.03.2006,TYT,-90 555 ***,-90 556 **55
55,Taylan,S.,10.03.2006,TYT,-90 555 ***,-90 556 **56
56,Yağmur,B.,11.03.2006,TYT,-90 555 ***,-90 556 **57
57,Ozan,Z.,12.03.2006,TYT,-90 555 ***,-90 556 **58
58,Begüm,D.,13.03.2006,TYT,-90 555 ***,-90 556 **59
59,Tuna,A.,14.03.2006,TYT,-90 555 ***,-90 556 **60
60,Selen,T.,15.03.2006,TYT,-90 555 ***,-90 556 **61
61,Barış Barış,T.,16.03.2006,TYT,-90 555 ***,-90 556 **62
62,Yasemin,Y.,17.03.2006,TYT,-90 555 ***,-90 556 **63
63,Ege,U.,18.03.2006,TYT,-90 555 ***,-90 556 **64
64,Şevval,I.,19.03.2006,TYT,-90 555 ***,-90 556 **65
65,Doruk,H.,20.03.2006,TYT,-90 555 ***,-90 556 **66
66,Berfin,K.,16.03.2007,AYT,-90 555 ***,-90 556 **67
67,Alp,A.,17.03.2007,AYT,-90 555 ***,-90 556 **68
68,İlayda,S.,18.03.2007,AYT,-90 555 ***,-90 556 **69
69,Sefa,B.,19.03.2007,AYT,-90 555 ***,-90 556 **70
70,Esra,Z.,20.03.2007,AYT,-90 555 ***,-90 556 **71
71,Kadir,D.,21.03.2007,AYT,-90 555 ***,-90 556 **72
72,Miray,A.,22.03.2007,AYT,-90 555 ***,-90 556 **73
73,Cem,T.,23.03.2007,AYT,-90 555 ***,-90 556 **74
74,Kübra,T.,24.03.2007,AYT,-90 555 ***,-90 556 **75
75,Utku,Y.,25.03.2007,AYT,-90 555 ***,-90 556 **76
76,Aleyna,U.,26.03.2007,AYT,-90 555 ***,-90 556 **77
77,Tarık,I.,27.03.2007,AYT,-90 555 ***,-90 556 **78
78,Eda,H.,28.03.2007,AYT,-90 555 ***,-90 556 **79
79,Bilal,K.,29.03.2007,AYT,-90 555 ***,-90 556 **80
80,Defne,A.,30.03.2007,AYT,-90 555 ***,-90 556 **81
81,Yaman,S.,31.03.2007,AYT,-90 555 ***,-90 556 **82
82,Azra,B.,01.04.2007,AYT,-90 555 ***,-90 556 **83
83,Tuncay,Z.,02.04.2007,AYT,-90 555 ***,-90 556 **84
84,Sibel,D.,03.04.2007,AYT,-90 555 ***,-90 556 **85
85,Yavuz,A.,04.04.2007,AYT,-90 555 ***,-90 556 **86
86,Nihan,T.,05.04.2007,AYT,-90 555 ***,-90 556 **87
87,Okay,T.,06.04.2007,AYT,-90 555 ***,-90 556 **88
88,Hilal,Y.,07.04.2007,AYT,-90 555 ***,-90 556 **89
89,Erkan,U.,08.04.2007,AYT,-90 555 ***,-90 556 **90
90,Şeyma,I.,09.04.2007,AYT,-90 555 ***,-90 556 **91
91,Alper,H.,10.04.2007,AYT,-90 555 ***,-90 556 **92
92,Rüya,K.,11.04.2007,AYT,-90 555 ***,-90 556 **93
93,Bora,A.,12.04.2007,AYT,-90 555 ***,-90 556 **94
94,Tülay,S.,13.04.2007,AYT,-90 555 ***,-90 556 **95
95,Levent,B.,14.04.2007,AYT,-90 555 ***,-90 556 **96
96,Mine,Z.,15.04.2007,AYT,-90 555 ***,-90 556 **97
97,Çetin,D.,16.04.2007,AYT,-90 555 ***,-90 556 **98
98,Didem,A.,17.04.2007,AYT,-90 555 ***,-90 556 **99
99,Rafet,T.,18.04.2007,AYT,-90 555 ***,-90 556 **100
100,Buket,T.,19.04.2007,AYT,-90 555 ***,-90 556 **101
101,Semih,Y.,20.04.2007,AYT,-90 555 ***,-90 556 **102
102,Nergis,U.,21.04.2007,AYT,-90 555 ***,-90 556 **103
103,Taner,I.,22.04.2007,AYT,-90 555 ***,-90 556 **104
104,Berkay,H.,23.04.2007,AYT,-90 555 ***,-90 556 **105
105,Selçuk,K.,24.04.2007,AYT,-90 555 ***,-90 556 **106
106,Nihal,A.,25.04.2007,AYT,-90 555 ***,-90 556 **107
107,Sabri,S.,26.04.2007,AYT,-90 555 ***,-90 556 **108
108,Gözde,B.,27.04.2007,AYT,-90 555 ***,-90 556 **109
109,Ender,Z.,28.04.2007,AYT,-90 555 ***,-90 556 **110
110,Hale,D.,29.04.2007,AYT,-90 555 ***,-90 556 **111
111,Necati,A.,30.04.2007,AYT,-90 555 ***,-90 556 **112
112,Jale,T.,01.05.2007,AYT,-90 555 ***,-90 556 **113
113,Kenan,T.,02.05.2007,AYT,-90 555 ***,-90 556 **114
114,Lale,Y.,03.05.2007,AYT,-90 555 ***,-90 556 **115
115,Sadık,U.,04.05.2007,AYT,-90 555 ***,-90 556 **116
116,Feride,I.,05.05.2007,AYT,-90 555 ***,-90 556 **117
117,Mahmut,H.,06.05.2007,AYT,-90 555 ***,-90 556 **118
118,Nazlı,K.,07.05.2007,AYT,-90 555 ***,-90 556 **119
119,Orhan,A.,08.05.2007,AYT,-90 555 ***,-90 556 **120
120,Banu,S.,09.05.2007,AYT,-90 555 ***,-90 556 **121
121,Osman,B.,10.05.2007,AYT,-90 555 ***,-90 556 **122
122,Ahu,Z.,11.05.2007,AYT,-90 555 ***,-90 556 **123
123,Selim,D.,12.05.2007,AYT,-90 555 ***,-90 556 **124
124,Beliz,A.,13.05.2007,AYT,-90 555 ***,-90 556 **125
125,Teoman,T.,14.05.2007,AYT,-90 555 ***,-90 556 **126
126,Ceyda,T.,15.05.2007,AYT,-90 555 ***,-90 556 **127
127,Ümit,Y.,16.05.2007,AYT,-90 555 ***,-90 556 **128
128,Esin,U.,17.05.2007,AYT,-90 555 ***,-90 556 **129
129,Vedat,I.,18.05.2007,AYT,-90 555 ***,-90 556 **130
